Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","051","Arménie","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","1.61","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","051","Arménie","664","Disponibilité alimentaire (Kcal/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","Kcal/personne/jour","49.96","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","051","Arménie","674","Disponibilité de protéines en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","g/personne/jour","5.04","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","036","Australie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","1246544","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","036","Australie","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","452.42","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","036","Australie","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","34229.66","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","036","Australie","664","Disponibilité alimentaire (Kcal/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","Kcal/personne/jour","187.57","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","036","Australie","674","Disponibilité de protéines en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","g/personne/jour","16.19","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","040","Autriche","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","125000","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","040","Autriche","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","42215.28","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","040","Autriche","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","49301.47","A","Chiffre officiel"
