Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","840","États-Unis d'Amérique","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","335942.003","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","231","Éthiopie","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","89237.791","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","231","Éthiopie","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","117190.911","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","643","Fédération de Russie","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","143242.599","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","643","Fédération de Russie","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","145617.329","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","242","Fidji","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","905.169","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","242","Fidji","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","920.422","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","246","Finlande","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","5363.271","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","246","Finlande","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","5529.468","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","62444.567","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","64480.053","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","266","Gabon","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","1711.105","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","266","Gabon","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","2292.573","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","270","Gambie","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","1937.275","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","270","Gambie","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","2573.995","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","268","Géorgie","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","3836.831","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","268","Géorgie","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","3765.912","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","288","Ghana","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","25574.719","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","288","Ghana","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","32180.401","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","292","Gibraltar","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","31.262","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","292","Gibraltar","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","32.709","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","300","Grèce","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","11033.783","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","300","Grèce","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","10512.232","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","308","Grenade","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","114.039","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","308","Grenade","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","123.663","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","304","Groenland","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","56.351","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","304","Groenland","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","56.026","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","312","Guadeloupe","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","403.072","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","312","Guadeloupe","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","395.642","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","316","Guam","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","164.905","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","316","Guam","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","169.231","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","320","Guatemala","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","14543.121","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","320","Guatemala","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","17362.718","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","324","Guinée","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","10270.728","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","324","Guinée","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","13205.153","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","226","Guinée équatoriale","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","1094.524","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","226","Guinée équatoriale","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","1596.049","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","624","Guinée-Bissau","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","1567.22","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","624","Guinée-Bissau","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","2015.828","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","328","Guyana","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","747.932","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","328","Guyana","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","797.202","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","254","Guyane française","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","228.453","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","254","Guyane française","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","290.969","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","332","Haïti","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","9842.88","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","332","Haïti","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","11306.801","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","340","Honduras","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","8450.933","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","340","Honduras","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","10121.763","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","348","Hongrie","511","Population totale","3010","Population-Estimations","2010","2010","1000 personnes","9986.825","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","348","Hongrie","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","9750.573","X","Ciffre de sources internationales",""
